firm_name,website,stage_focus,investment_focus,avg_check_size,location,geographies,can_lead,source_link,portfolio_examples
Overwater Ventures,https://www.overwater.vc/,"Pre-Seed, Seed","Health, Biotech, Food & Ag, Climate, AI",$400K - $2M,,"USA, Europe, Canada",Yes,https://www.vcsheet.com/fund/overwater-ventures,
Maveron,http://www.maveron.com/,"Seed, Series A","Consumer, CPG / D2C, Health, Education, Fintech",$100K - $15M,"San Francisco, California",USA,No,https://www.vcsheet.com/fund/maveron,"Public, The RealReal, Dolls Kill, Groupon, Ethos"
Dorm Room Fund,http://dormroomfund.com/,,"Health, Consumer, Deeptech / Hardware, AI, SaaS",,"Philadelphia, Pennsylvania",USA,No,https://www.vcsheet.com/fund/dorm-room-fund,"LeapYear Technologies, Portabl, WellTheory, Athelas, FiscalNote"
Hyperplane Venture Capital,http://hyperplane.vc,"Seed, Series A, Series B+","AI, Robotics, Data, Enterprise, Deeptech / Hardware",$250K - $3M,"Boston, Massachusetts",USA,Yes,https://www.vcsheet.com/fund/hyperplane-venture-capital,
Digitalis Ventures,http://www.digitalisventures.com,"Pre-Seed, Seed, Series A, Series B+","Biotech, Health, Medtech, AI, Deeptech / Hardware",$100K - $10M,"New York, New York","USA, Europe",Yes,https://www.vcsheet.com/fund/digitalis-ventures,
Human Ventures,http://human.vc/,,"Health, Future of Work, CPG / D2C, Media, Consumer",,"New York, New York",USA,No,https://www.vcsheet.com/fund/human-ventures,Capsule
Social Capital,http://www.socialcapital.com,,"Health, Fintech, Enterprise, Climate, Deeptech / Hardware",,"Palo Alto, California",USA,No,https://www.vcsheet.com/fund/social-capital,"Flutterwave, Apollo.io, Guild, Greenlight, Netskope"
High Street Equity Partners,https://www.highstreetequity.com/,Seed,"Future of Work, Health, Climate, Consumer, Under-represented founders",$10K - $250K,"Washington, District of Columbia",USA,No,https://www.vcsheet.com/fund/high-street-equity-partners,
Revolution’s Rise of the Rest Seed Fund,https://www.revolution.com/entity/rotr/,,"Generalist, Enterprise, Health, Food & Ag, SaaS",,"Washington, District of Columbia",USA,No,https://www.vcsheet.com/fund/revolution-s-rise-of-the-rest-seed-fund,
Collaborative Fund,https://collabfund.com/,,"Food & Ag, Climate, Consumer, Health, Fintech",,,,No,https://www.vcsheet.com/fund/collaborative-fund,
Google Ventures,https://www.gv.com/,,"AI, Education, Climate, Cybersecurity, Future of Work, Health",,,"USA, Israel, Europe",No,https://www.vcsheet.com/fund/google-org,
Caffeinated,http://caffeinatedcapital.com/,"Pre-Seed, Seed, Series A, Series B+","Enterprise, SaaS, Defense, Deeptech / Hardware, AI, Health","$3M - $5M (Seed), $10M - $25M (Series A), $50M (Series B+)","San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/caffeinated-capital,"Starcloud, Loft, smash.gg, SentiLink, AgentSync"
