name,location,investment_focus,investor_type,stage_focus,portfolio_examples,source_link
Loretta McCarthy,United States New York New York City,"Health Care, Email, E-commerce","Venture Capital, Entrepreneurship Program, Corporate Venture Capital, Angel Group, Private Equity Firm, CEO, Investor","Seed, Crowdfunding, Pre-Seed, Early Stage Venture","Rapt Media, RenovoRx, Lark, CourseHorse, BentoBox",https://investorhunt.co/investors/loretta-mccarthy
Sean cantwell,United States Massachusetts Boston,"Advertising, Health Care, Telecommunications","Venture Capital, Private Equity Firm, Investor",Series B,"Assent Compliance, Ping Identity, Xoom, TraceLink, mindSHIFT Technologies",https://investorhunt.co/investors/sean-cantwell
Vasu Kulkarni,United States New York New York City,"Health Care, Wearables, E-commerce","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Finance Operator, Micro VC, Investor","Seed, Pre-Seed, Early Stage Venture","Dirty Lemon, Krossover, Genius",https://investorhunt.co/investors/vasu-kulkarni
Paul Goodrich,United States Washington Mercer Island,"Advertising, Health Care, Genetics","Venture Capital, Investor",Seed,"Bag Borrow or Steal, Classmatescom, Local Marketers, Redfin, Sharebuilder",https://investorhunt.co/investors/paul-goodrich
Neeraj Agrawal,United States Massachusetts Boston,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Series B, Early Stage Venture, Series A","Datanyze, Shortcut, OpsGenie, Univest, Coefficient",https://investorhunt.co/investors/neeraj-agrawal
Richard Brick,United Kingdom England London,"Advertising, Health Care, Emerging Technology","Venture Capital, Private Equity Firm, Investment Partner",Early Stage Venture,"maude, Huboo, Zwift, Soulfresh, FunnelAI",https://investorhunt.co/investors/richard-brick
Denise Ferre,United States California Sacramento,"Advertising, Health Care, Autonomous Vehicles","Venture Capital, Private Equity Firm","Early Stage Venture, Series A","Trufan, ARIZ Precision Medicine, Sibros, Aumni, Ryff",https://investorhunt.co/investors/denise-ferre
Talia Goldberg,United States California San Francisco,"Health Care, Emerging Technology, High-growth Startups","Venture Capital, Corporate Venture Capital, Private Equity Firm, Finance Operator, Venture Debt, Investor","Series B, Early Stage Venture, Series A, Late Stage Venture","Carefull, Streamloots, DocsApp, Courier, Undock",https://investorhunt.co/investors/talia-goldberg
Krishnan Neelakantan,India Maharashtra Mumbai,"Health Care, Telecommunications, Hospitals","Venture Capital, Private Equity Firm, Micro VC, Investment Partner","Crowdfunding, Early Stage Venture","Rupifi, Captain Fresh, CropIn, BigHaat, Vegrow",https://investorhunt.co/investors/krishnan-neelakantan
Dixon Cm,India Karnataka Bengaluru,"Advertising, Health Care, Data Integration","Venture Capital, Advisor, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Seed, Series B, Series A","byUs, BlueCart, SigFig, Brickfish",https://investorhunt.co/investors/dixon-cm
Andy Weissman,United States New York New York City,"Health Care, E-commerce, Online Education","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Early Stage Venture, Series A","Heart to Heart, Beauty By Design, Abridge, Embedly, Funding Circle",https://investorhunt.co/investors/andy-weissman
Roland Anderson,United States Massachusetts Boston,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner","Series B, Early Stage Venture, Series A","Signiant, RetailNext, MadCap Software, Inc., StoneEagle, Workwell Technologies",https://investorhunt.co/investors/roland-anderson
John Lilly,United States California San Francisco,"Health Care, Talent Management, E-commerce","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Series B, Early Stage Venture, Series A","Census, Descript, CoScreen, Iron Fish, HUBUC",https://investorhunt.co/investors/john-lilly
Wesley Friedman,United States California Los Angeles,"Health Care, Computer Vision, Women Founded","Venture Capital, Private Equity Firm, Finance Operator, Investor",Series B,"MakeSpace, Eight Sleep, Millions, IdeaFlow, Premise Data",https://investorhunt.co/investors/wesley-friedman
Pat Matthews,United States Texas San Antonio,"Health Care, Advocacy, Wellness","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Micro VC, Investment Partner, Investor","Seed, Pre-Seed","Emergent One, Testlio, Promoter.io, Keen, EasyExpunctions",https://investorhunt.co/investors/pat-matthews
John Frankel,United States New York New York City,"Health Care, Talent Management, High-growth Startups","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Series B, Early Stage Venture","Top Flight Technologies, Hashable, ClearPath Immigration, 500px, Phone.com",https://investorhunt.co/investors/john-frankel
Blair Garrou,United States Texas Houston,"Health Care, Research and Development, Events Services","Venture Capital, Private Equity Firm, Angel/Individual, Investor",Seed,"Molecule, Graphicly, GameSalad, Alert Logic, Vistar Media",https://investorhunt.co/investors/blair-garrou
Shiv Chaudhary,India Maharashtra Mumbai,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner",Early Stage Venture,Edelweiss Financial Services,https://investorhunt.co/investors/shiv-chaudhary
Pietro Bezza,United Kingdom England London,"Advertising, Health Care, Genetics","Venture Capital, Founder, Private Equity Firm, Micro VC, Investor","Seed, Early Stage Venture","Typeform, Stepsize, TrueLayer, Citymapper, The Family",https://investorhunt.co/investors/pietro-bezza
Tony Florence,United States New York New York City,"Advertising, Health Care, Emerging Technology","Venture Capital, Private Equity Firm, Angel/Individual, Investor","Series B, Series A","Jet, EVERFI, Swirlds, Casper, Moda Operandi",https://investorhunt.co/investors/tony-florence
Jesse Beyroutey,United States New York New York City,"Advertising, Health Care, High-growth Startups","Venture Capital, Private Equity Firm, Micro VC",Early Stage Venture,"Canvas Medical, Companion, Secure, Headway, KYKLO",https://investorhunt.co/investors/jesse-beyroutey
Rami Branitzky,United States California San Francisco,"Health Care, Talent Management, Network Infrastructure","Venture Capital, Entrepreneurship Program, Corporate Venture Capital, Private Equity Firm, Fund Of Funds, Investor","Series B, Early Stage Venture, Late Stage Venture","Tonal, Churchill Club, SAP, TopTier Software",https://investorhunt.co/investors/rami-branitzky
Gary Swart,United States California Atherton,"Creative Venture, Patient Care, Health Care","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Pre-Seed, Early Stage Venture","Stensul, Envoy, Preply, Cobalt, CliQr Technologies",https://investorhunt.co/investors/gary-swart
Luis Trevino,United States New York New York City,"Advertising, Health Care, Data Integration","Venture Capital, Advisor, Family Investment Office, Private Equity Firm, Investor",Seed,"Arthena, Spire Global, Carrot, Black House, Kiwii Capital",https://investorhunt.co/investors/luis-f-trevino
Scott Brady,United States California San Francisco,"Health Care, Emerging Technology, Research and Development","Venture Capital, Private Equity Firm, Finance Operator, Micro VC, Investor","Seed, Early Stage Venture, Series A","Lever, Opendoor, attune, HoneyBook, Kinnek",https://investorhunt.co/investors/scott-brady
Mark Poag,United States Texas Houston,"Health Care, Research and Development, Wellness","Venture Capital, Private Equity Firm, Angel/Individual, Investor","Seed, Pre-Seed","Overtime, SmartAsset, Optimal Dynamics, RocketVisor, Quantum Circuits",https://investorhunt.co/investors/mark-poag
Alexis Ohanian,United States Florida Fort Lauderdale,"Advertising, Clean Tech, Health Care","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Venture Debt, Investment Partner, Investor","Seed, Pre-Seed, Early Stage Venture, Series A","Apportable, Kamcord, Rally, Opendoor, Rescale",https://investorhunt.co/investors/alexis-ohanian-sr
Eric Lui,United States California Santa Monica,"Health Care, Talent Management, Customer Service","Venture Capital, Private Equity Firm, Angel/Individual, Micro VC, Investment Partner",Seed,"Wedding Spot, Factual Inc",https://investorhunt.co/investors/eric-lui
Ethan Rigel,United States New York New York City,"Patient Care, Health Care, Genetics","Venture Capital, Private Equity Firm",Early Stage Venture,"ACE Portal, BaseTrace, Brickell Biotech, Castle Biosciences, Conversa Health",https://investorhunt.co/investors/ethan-rigel
Brian Long,United States California Palo Alto,"Advertising, Health Care, High-growth Startups","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Early Stage Venture","Thumb, Elevate, Onswipe, Buzzd, Localytics",https://investorhunt.co/investors/brian-long
Lee Junior,Singapore Central Singapore Community Development Council Singapore,"Advertising, Creative Venture, Health Care","Venture Capital, Incubator, Entrepreneurship Program, Accelerator, Private Equity Firm",Early Stage Venture,"Advantir Innovations, Novocall, BoxGreen, salutat, Rooit",https://investorhunt.co/investors/lee-junior
Atul Kamra,United States Missouri St. Louis,"Health Care, Data Integration, Payments","Venture Capital, Corporate Venture Capital, Private Equity Firm, Finance Operator, Investor","Seed, Early Stage Venture, Series A","Assembly, FinLocker, Ensygnia, Trust Stamp, Popwallet",https://investorhunt.co/investors/atul-kamra
Yusuke Murata,Japan Tokyo Tokyo,"Health Care, South East Asia-based Startups, Telecommunications","Venture Capital, Private Equity Firm","Pre-Seed, Early Stage Venture, Series A","Catallaxy, TERASS, AGRIST, CloudNatix, Parame",https://investorhunt.co/investors/yusuke-murata
David Marquardt,United States California Menlo Park,"Health Care, Cybersecurity, Sports","Venture Capital, Private Equity Firm",Early Stage Venture,"FourKites, Amount.com, Kin Insurance, Kentik, Dock Health",https://investorhunt.co/investors/david-marquardt
Max-Julian Kaye,United States Massachusetts Boston,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner","Series B, Early Stage Venture, Series A","Vercore, LI-COR Environmental, LI-COR Biotechnology, VertiGIS, CAMBRIO",https://investorhunt.co/investors/max-julian-kaye
Matias Thienen,United States Florida Miami,"Health Care, Wellness, HR Tech","Venture Capital, Private Equity Firm, Investor",Series B,"Turing.com, On Deck, Figma, Vise, Density",https://investorhunt.co/investors/matias-thienen
Morgan Flager,United States Texas Austin,"Health Care, Outdoors, Payments","Venture Capital, Private Equity Firm","Early Stage Venture, Series A","Living Security, Rollick, Rx Redefined, Routefusion, Literati",https://investorhunt.co/investors/morgan-flager
Greg Beaufait,United States Illinois Chicago,"Advertising, Health Care, E-commerce","Venture Capital, Private Equity Firm, Finance Operator, Micro VC","Seed, Pre-Seed, Early Stage Venture","Dobby, Bulu Group, Graphicly, Costello, Built In",https://investorhunt.co/investors/greg-beaufait
Pauliina Martikainen-Rahnu,Finland Uusimaa Helsinki,"Health Care, Brand Development, Pet Care","Venture Capital, Private Equity Firm","Pre-Seed, Early Stage Venture, Series A","Baseimmune, Enfuce, Calqulate, ultimate.ai, IQM",https://investorhunt.co/investors/pauliina-martikainen
Kenneth Pentimonti,United Kingdom England Greater London,"Health Care, Emerging Technology, Digital Services","Venture Capital, Private Equity Firm",Early Stage Venture,"Decentriq, Menlo Micro, IriusRisk, GreyNoise Intelligence, RangeForce",https://investorhunt.co/investors/kenneth-pentimonti
Devin Quinlan,United States Massachusetts Cambridge,"Health Care, Research and Development, Regenerative Medicine","Venture Capital, Accelerator, Private Equity Firm, Investment Partner, Investor","Seed, Early Stage Venture","23andMe, ElevateBio, TriVascular, Nevro, Syndax Pharmaceuticals",https://investorhunt.co/investors/devin-quinlan
Amy Tusman,United States California Burlingame,"Health Care, E-commerce, Sports","Venture Capital, Founder, Private Equity Firm, Finance Operator, Venture Debt","Early Stage Venture, Series A","Pendulum Therapeutics, EPNS, Hi Marley, Wefarm, Health Gorilla",https://investorhunt.co/investors/amy-tusman
John-Arne Horlock,Norway Trøndelag Trondheim,"Health Care, High-growth Startups, Wellness","Venture Capital, Private Equity Firm","Series B, Early Stage Venture, Series A","Cimon Medical, Fonn Construction, CardioMech, Shoreline, Ignite Procurement",https://investorhunt.co/investors/john-arne-horlock
Roger Hurwitz,United States Massachusetts Boston,"Advertising, Health Care, Telecommunications","Venture Capital, Private Equity Firm, Investor",Series B,"Assent Compliance, Ping Identity, Xoom, TraceLink, mindSHIFT Technologies",https://investorhunt.co/investors/roger-hurwitz
Eric Ball,United States California Menlo Park,"Health Care, Talent Management, Wearables","Venture Capital, Entrepreneurship Program, Corporate Venture Capital, Private Equity Firm, Investor","Seed, Early Stage Venture","Nightingale Security, TaskHuman, ScoreData Corporation, chikaku, Scaeva Technologies",https://investorhunt.co/investors/eric-ball
Rick Yang,United States California San Francisco,"Advertising, Health Care, Emerging Technology","Venture Capital, Private Equity Firm, Angel/Individual, Investor","Series B, Series A","Atrium, Firebase, Surf Air, Freshplum, Euclid",https://investorhunt.co/investors/rick-yang
Demi Obayomi,United States California San Francisco,"Health Care, Talent Management, Telecommunications","Venture Capital, Entrepreneurship Program, Corporate Venture Capital, Private Equity Firm, Investor","Series B, Early Stage Venture, Late Stage Venture","HeadSpin, Zuora, Grain, BrightRoll, Routefusion",https://investorhunt.co/investors/demi-obayomi
Brandon Farwell,United States California Menlo Park,"Health Care, Cybersecurity, Disruptive Innovation","Venture Capital, University Program, Incubator, Entrepreneurship Program, Accelerator, Private Equity Firm, Venture Debt, Micro VC","Seed, Pre-Seed, Early Stage Venture","Philo, Tonic.ai, NewtonX, Service, Natalist",https://investorhunt.co/investors/brandon-farwell
Tsuyoshi Ito,Japan Tokyo Tokyo,"Health Care, Wellness, Consumer Goods","Venture Capital, Incubator, Accelerator, Private Equity Firm, CEO, Investor",Seed,"Biomoneta Research, Lil'Goodness, GigIndia, MediBuddy, Gojo & Company",https://investorhunt.co/investors/tsuyoshi-ito
Brett Gibson,United States California San Francisco,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner","Seed, Series A","Foundation Devices, Hummingbot, KNØX, Shogun, Fly.io",https://investorhunt.co/investors/brett-gibson
David Jones,United States North Carolina Chapel Hill,"Health Care, Talent Management, Email","Venture Capital, Private Equity Firm","Early Stage Venture, Series A","Levitate, LaunchNotes, ServiceTrade, Reveal Mobile, Circonus",https://investorhunt.co/investors/david-jones
Marcus Daniels,Canada Ontario Toronto,"Advertising, Health Care, Consumer Research","Venture Capital, Incubator, Accelerator, Corporate Venture Capital, Private Equity Firm, Angel/Individual, Venture Debt, Investment Partner",Seed,"Andela, Drop, Hockeystick, ChargeLab, Lighthouse Labs",https://investorhunt.co/investors/marcus-daniels
Takenori Sanami,United States California Palo Alto,"Health Care, Cybersecurity, Databases","Venture Capital, Private Equity Firm","Series B, Early Stage Venture","Volansi, Area 1 Security, Synack, Confluera, Empower",https://investorhunt.co/investors/takenori-sanami
Scott Jacobson,United States Washington Mercer Island,"Health Care, Data Integration, Remote Work Tech","Venture Capital, Private Equity Firm, Investor","Seed, Early Stage Venture, Series A","TeachStreet, Common Room, Mobilewalla, Haiku Deck, Jambool",https://investorhunt.co/investors/scott-jacobson
Rachit Parekh,India Karnataka Bengaluru,"Advertising, Health Care, E-commerce","Venture Capital, Accelerator, Corporate Venture Capital, Private Equity Firm, Finance Operator, Investor",Early Stage Venture,"Charles, ConductorOne, Swiggy, Productiv, CityMall",https://investorhunt.co/investors/rachit-parekh
Eric Chen,United States California San Francisco,"Advertising, Health Care, Commercial","Venture Capital, Private Equity Firm, Angel/Individual, Micro VC, Investment Partner","Early Stage Venture, Late Stage Venture","Hadapt, RiseSmart, BlueJeans Network, InsightsOne, Skybox Imaging",https://investorhunt.co/investors/eric-chen
Travis Tasset,United States Texas Dallas,"Health Care, Customer Service, Healthcare Delivery","Venture Capital, Investment Bank, Private Equity Firm, Angel/Individual",Early Stage Venture,The Ameta Group,https://investorhunt.co/investors/travis-tasset
Alyssa Dadoly,United States Texas Austin,"Health Care, Outdoors, Payments","Venture Capital, Private Equity Firm","Early Stage Venture, Series A","Living Security, Rollick, Rx Redefined, Routefusion, Literati",https://investorhunt.co/investors/alyssa-dadoly
Hermann Hauser,United Kingdom England Cambridge,"Health Care, Cybersecurity, Disruptive Innovation","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Series B, Early Stage Venture","Quantrol Ox, Ease-Link GmbH, USound, TriLite Technologies, Hyperganic",https://investorhunt.co/investors/hermann-hauser
Guillaume Meulle,France Île-de-France Paris,"Health Care, Digital Services, Mobility","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investor","Series B, Early Stage Venture, Series A","Mailjet, Adomik, Scality, Cirpack, Delfmems",https://investorhunt.co/investors/guillaume-meulle
Ronny Vikdal,Norway Trøndelag Trondheim,"Health Care, High-growth Startups, Wellness","Venture Capital, Private Equity Firm, Investor","Seed, Series B, Early Stage Venture, Series A","OceanSaver, Unacast, bMobilized, Heimdall Power, Xeneta",https://investorhunt.co/investors/ronny-vikdal
Graham Ober,United States California San Francisco,"Health Care, Remote Work Tech, Autonomous Vehicles","Venture Capital, Product Operator, Investor",Series A,"Bionaut Labs, Good Buy Gear, Wagmo, Revolution",https://investorhunt.co/investors/graham-ober
Michel Lempdes,France Île-de-France Paris,"Health Care, Solar Energy, E-commerce","Venture Capital, Private Equity Firm, Fund Of Funds",Early Stage Venture,"Elistair, Artifakt, AgomAb Therapeutics, BIZAY / 360imprimir, Biosyl",https://investorhunt.co/investors/michel-de-lempdes
Karen Spilizewski,United States Ohio Cleveland,"Patient Care, Health Care, Wellness","Venture Capital, Syndicate, Private Equity Firm, Investor","Seed, Early Stage Venture","Adarza BioSystems, Neuros Medical, Standard Bariatrics, Otonomy, OncoResponse",https://investorhunt.co/investors/karen-spilizewski
Hemant Mohapatra,India Karnataka Bengaluru,"Health Care, Emerging Technology, High-growth Startups","Venture Capital, Corporate Venture Capital, Founder, Private Equity Firm, Angel/Individual, Finance Operator, Micro VC, Investment Partner, Investor","Seed, Series B, Early Stage Venture, Series A","Globevestor, Pintu, Pixxel, Emergent, Composio",https://investorhunt.co/investors/hemant-mohapatra
Tae Nahm,United States California Menlo Park,"Health Care, Hospitals, Customer Service","Venture Capital, Entrepreneurship Program, Founder, Private Equity Firm, Investor","Seed, Early Stage Venture, Series A","Flint, Talkdesk, SourceClear, Workato, Copper",https://investorhunt.co/investors/tae-hea-nahm
Gil Ben-Artzy,United States California San Francisco,"Advertising, Health Care, Remote Work Tech","Venture Capital, Accelerator, Private Equity Firm, Micro VC, Investor","Seed, Early Stage Venture","Buildup, HoneyBook, Mobilize, Peer5, BeeHero",https://investorhunt.co/investors/gil-ben-artzy
Marco Winzer,Germany North Rhine-Westphalia Bonn,"Health Care, Equipment Manufacturing, Autonomous Vehicles","Venture Capital, Private Equity Firm, Angel/Individual, Investor",Seed,High-Tech Gründerfonds,https://investorhunt.co/investors/marco-winzer
Brandon Gleklen,United States New York New York City,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Series B, Early Stage Venture, Series A","1Mind, Niantic Spatial, Inc., AssistIQ, Bench IQ, Procurement Sciences AI",https://investorhunt.co/investors/brandon-gleklen
Rachel Geller,United States Illinois Chicago,"Advertising, Health Care, Data Integration","Venture Capital, Private Equity Firm, Investor",Series B,"Divvy, CRED, Calm, theator, SetSail",https://investorhunt.co/investors/rachel-geller
John Luttig,United States California San Francisco,"Health Care, Wellness, Enterprise Software","Venture Capital, Private Equity Firm, Investor",Series B,"Turing.com, On Deck, Figma, Vise, Density",https://investorhunt.co/investors/john-luttig
Davor Hebel,United Kingdom England Greater London,"Advertising, Health Care, Telecommunications","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Series B","Treatwell, InnoGames, Stylistpick, Slerp, 7bridges",https://investorhunt.co/investors/davor-hebel
Joseph Regan,Canada Ontario Toronto,"Clean Tech, Health Care, Autonomous Vehicles","Venture Capital, Private Equity Firm, Investor","Seed, Series A","Borrowell, Tulip Retail, Reperformance, Effenco, ZenHub",https://investorhunt.co/investors/joseph-regan
Sim Blaustein,United States New York New York City,"Advertising, Health Care, E-commerce","Venture Capital, Corporate Venture Capital, Private Equity Firm, Finance Operator, Investor","Series B, Early Stage Venture, Series A","Pathmatics, Atlas Obscura, The Athletic, Wondery, HeyMama",https://investorhunt.co/investors/sim-blaustein
Jim Bonetti,United States New York New York City,"Advice, Health Care, Telecommunications","Venture Capital, Private Equity Firm",Early Stage Venture,"Gogo, CAPTRUST, Vivid Seats, Vector Laboratories, Transaction Data Systems",https://investorhunt.co/investors/jim-bonetti
Vinay Singh,India Karnataka Bengaluru,"Advertising, Health Care, Remote Work Tech","Venture Capital, Founder, Private Equity Firm, Finance Operator, Micro VC, Investor","Seed, Early Stage Venture","Blink (previously Witworks), Slurrp Farm, FableStreet, Bombay Shaving Company, Vahdam Teas",https://investorhunt.co/investors/vinay-singh
Forest Baskett,United States California Menlo Park,"Advertising, Health Care, Emerging Technology","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Series B, Series A","Swift Navigation, SuVolta, Uhana, Placemeter, Chelsio Communications",https://investorhunt.co/investors/forest-baskett
Steve Hughes,United States Colorado Boulder,"Advertising, Health Care, Wearables","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner",Seed,"Alpine Start Foods, Boulder Brands, The Cambridge Group",https://investorhunt.co/investors/steve-hughes
Kevin Melia,United States California Palo Alto,"Health Care, Hospitals, Customer Service","Venture Capital, Entrepreneurship Program, Private Equity Firm, Investor","Seed, Early Stage Venture, Series A","Flint, Talkdesk, SourceClear, Workato, Copper",https://investorhunt.co/investors/kevin-e-melia
Vaneeta Varma,United States California Los Altos,"Health Care, Emerging Technology, iOS Development","Venture Capital, Entrepreneurship Program, Private Equity Firm, Investment Partner","Series B, Early Stage Venture, Series A","SeekOut, Cube, Recogni, Quilt, Plus",https://investorhunt.co/investors/vaneeta-varma
Eric Kim,United States California Burlingame,"Health Care, Digital Therapeutics, E-commerce","Venture Capital, Founder, Private Equity Firm, Micro VC, Investor","Seed, Early Stage Venture","Buffer, Voxer, Renovo, I Done This, oneQube",https://investorhunt.co/investors/eric-j-kim
Zack Scott,United States California San Francisco,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Finance Operator, Fund Of Funds, Investment Partner, Investor","Seed, Early Stage Venture","Providence Medical Technology, Gravie, Evidation Health, Genome Medical, Arterys",https://investorhunt.co/investors/zack-scott
Carl Fritjofsson,United States California San Francisco,"Health Care, Talent Management, Mobility","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator","Early Stage Venture, Series A","nexos.ai, Appcharge, Codesphere, H Company",https://investorhunt.co/investors/carl-fritjofsson
Frederic Court,United Kingdom England Greater London,"Advertising, Health Care, Brand Development","Venture Capital, Founder, Private Equity Firm, Finance Operator",Early Stage Venture,"Goop, Peloton, TravelPerk, Deliveroo, Everdrop",https://investorhunt.co/investors/frederic-court
Rick Moss,United States California Oakland,"Health Care, Genetics, E-commerce","Venture Capital, Entrepreneurship Program, Private Equity Firm, Micro VC, Investor",Seed,"LeadGenius, UClass, Eko, NBD Nanotechnologies, CheckInOnMe",https://investorhunt.co/investors/rick-moss
Alex Buchan,United Kingdom England Newcastle upon Tyne,"Health Care, High-growth Startups, E-commerce","Venture Capital, Private Equity Firm, Micro VC, Investor","Seed, Pre-Seed, Early Stage Venture","Haystack, Ricochet.ai, Citruslabs, Ignite Accelerator, Tungl",https://investorhunt.co/investors/alex-buchan
Keisuke Wada,Japan Tokyo Tokyo,"Health Care, South East Asia-based Startups, Telecommunications","Venture Capital, Private Equity Firm","Pre-Seed, Early Stage Venture, Series A","Catallaxy, TERASS, AGRIST, CloudNatix, Parame",https://investorhunt.co/investors/keisuke-wada
David Tisch,United States New York New York City,"Advertising, Health Care, Remote Work Tech","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Finance Operator, Micro VC, Investment Partner, Investor","Seed, Pre-Seed","Digits, Lever, IDme, Panna, Eterneva",https://investorhunt.co/investors/david-tisch
