name,website,stage_focus,investment_focus,avg_check_size,location,geographies,can_lead,source_link,portfolio_examples,investor_type,data_source
First Round Capital,http://www.firstround.com,"Seed, Series A","SaaS, Enterprise, AI, Health, Consumer, Data, Fintech",$750K - $4M,"San Francisco, California","USA, Canada",Yes,https://www.vcsheet.com/fund/first-round-capital,"Beautiful.ai, Cellular Longevity, Warby Parker, GOAT Group, Hot Potato",VC Firm,vcsheet
5AM Ventures,http://www.5amventures.com/,"Seed, Series A","Biotech, Health, Medtech",$100K - $5M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/5am-ventures,,VC Firm,vcsheet
Founders Fund,http://www.foundersfund.com,"Seed, Series A, Series B+","AI, Biotech, Defense, Space, Fintech",$500K - $150M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/founders-fund,"Kavak.com, Cobalt, The Information, Stord, Workrise",VC Firm,vcsheet
Third Rock Ventures,https://www.thirdrockventures.com/,"Seed, Series A","Biotech, Health, Medtech",$100K - $5M,"Boston, Massachusetts",USA,No,https://www.vcsheet.com/fund/third-rock-ventures,insitro,VC Firm,vcsheet
BoxGroup,http://www.boxgroup.com,"Pre-Seed, Seed, Series A","Fintech, Deeptech / Hardware, Devtools, AI, Consumer",$250K-$1M,"New York, New York",USA,No,https://www.vcsheet.com/fund/boxgroup,"Mindset AI, Stord, Workrise, K Health, Cellular Longevity",VC Firm,vcsheet
Health Equity Ventures,http://www.healthequityventures.com/,"Pre-Seed, Seed, Series A","Health, Under-represented founders, Medtech, SaaS, Data",$50K - $250K,"Oakland, California",USA,No,https://www.vcsheet.com/fund/health-equity-ventures,,VC Firm,vcsheet
Healthy Ventures,https://www.healthy.vc/,"Seed, Series A","Health, AI, SaaS, Data, Insurtech",$500K - $2M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/healthy-ventures,Season Health,VC Firm,vcsheet
Wavemaker 360 Health,https://www.wavemaker360.com/,Seed,"Health, Medtech, AI, Biotech, Data",$500K - $1M,"Pasadena, California",USA,Yes,https://www.vcsheet.com/fund/wavemaker-360-health,,VC Firm,vcsheet
DCVC,http://www.dcvc.com,"Seed, Series A","Deeptech / Hardware, Biotech, Climate, Data, Health",$5M - $25M,"San Francisco, California","Africa, USA",No,https://www.vcsheet.com/fund/dcvc,"Flutterwave, Unlearn.AI, Embark Trucks (acquired by Applied Intuition), StarkWare, StrongDM",VC Firm,vcsheet
KdT Ventures,https://www.kdtvc.com/,"Seed, Series A","Biotech, Health, AI, Materials, Food & Ag",$500K - $3M,"Austin, Texas",USA,No,https://www.vcsheet.com/fund/kdt-ventures,PathAI,VC Firm,vcsheet
8VC,http://www.8vc.com,"Pre-Seed, Seed, Series A, Series B+","Enterprise, Biotech, Health, Logistics, Defense",$500K - $50M,"Austin, Texas",USA,Yes,https://www.vcsheet.com/fund/8vc,"The Information, Unlearn.AI, Deliverr Inc., Wispr AI, Side",VC Firm,vcsheet
Slow Ventures,https://slow-prod.herokuapp.com,"Pre-Seed, Seed, Series A","SaaS, Fintech, Health, Consumer, Web3 / Crypto",$50K - $1M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/slow-ventures,"VGS, ClassPass, Nextdoor, AngelList, Wealthfront",VC Firm,vcsheet
Felicis Ventures,http://www.felicis.com,"Seed, Series A, Series B+","AI, Devtools, Data, Health, Deeptech / Hardware",$2M - $40M,"Menlo Park, California","USA, Canada, LatAm, Europe, Asia-Pacific, Israel, ANZ, Africa, India, MENA",Yes,https://www.vcsheet.com/fund/felicis-ventures,"Crunchbase, Elevate, Guild Education, Ginkgo Bioworks, Gusto",VC Firm,vcsheet
SOSV,https://sosv.com/,"Pre-Seed, Seed, Series A, Series B+","Deeptech / Hardware, Food & Ag, Climate, Health, Biotech",$250K - $5M,"San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/sosv,AngelList,VC Firm,vcsheet
Sandbox Industries,http://www.sandboxindustries.com,,"Health, Insurtech, Food & Ag, AI, Biotech",,,,No,https://www.vcsheet.com/fund/sandbox-industries,,VC Firm,vcsheet
ADQ,https://www.adq.ae/,,"Energy, Food & Ag, Health, Transportation, Logistics",,,,No,https://www.vcsheet.com/fund/adq,,VC Firm,vcsheet
Overwater Ventures,https://www.overwater.vc/,"Pre-Seed, Seed","Health, Biotech, Food & Ag, Climate, AI",$400K - $2M,,"USA, Europe, Canada",Yes,https://www.vcsheet.com/fund/overwater-ventures,,VC Firm,vcsheet
Maveron,http://www.maveron.com/,"Seed, Series A","Consumer, CPG / D2C, Health, Education, Fintech",$100K - $15M,"San Francisco, California",USA,No,https://www.vcsheet.com/fund/maveron,"Public, The RealReal, Dolls Kill, Groupon, Ethos",VC Firm,vcsheet
Dorm Room Fund,http://dormroomfund.com/,,"Health, Consumer, Deeptech / Hardware, AI, SaaS",,"Philadelphia, Pennsylvania",USA,No,https://www.vcsheet.com/fund/dorm-room-fund,"LeapYear Technologies, Portabl, WellTheory, Athelas, FiscalNote",VC Firm,vcsheet
Hyperplane Venture Capital,http://hyperplane.vc,"Seed, Series A, Series B+","AI, Robotics, Data, Enterprise, Deeptech / Hardware",$250K - $3M,"Boston, Massachusetts",USA,Yes,https://www.vcsheet.com/fund/hyperplane-venture-capital,,VC Firm,vcsheet
Digitalis Ventures,http://www.digitalisventures.com,"Pre-Seed, Seed, Series A, Series B+","Biotech, Health, Medtech, AI, Deeptech / Hardware",$100K - $10M,"New York, New York","USA, Europe",Yes,https://www.vcsheet.com/fund/digitalis-ventures,,VC Firm,vcsheet
Human Ventures,http://human.vc/,,"Health, Future of Work, CPG / D2C, Media, Consumer",,"New York, New York",USA,No,https://www.vcsheet.com/fund/human-ventures,Capsule,VC Firm,vcsheet
Social Capital,http://www.socialcapital.com,,"Health, Fintech, Enterprise, Climate, Deeptech / Hardware",,"Palo Alto, California",USA,No,https://www.vcsheet.com/fund/social-capital,"Flutterwave, Apollo.io, Guild, Greenlight, Netskope",VC Firm,vcsheet
High Street Equity Partners,https://www.highstreetequity.com/,Seed,"Future of Work, Health, Climate, Consumer, Under-represented founders",$10K - $250K,"Washington, District of Columbia",USA,No,https://www.vcsheet.com/fund/high-street-equity-partners,,VC Firm,vcsheet
Revolution’s Rise of the Rest Seed Fund,https://www.revolution.com/entity/rotr/,,"Generalist, Enterprise, Health, Food & Ag, SaaS",,"Washington, District of Columbia",USA,No,https://www.vcsheet.com/fund/revolution-s-rise-of-the-rest-seed-fund,,VC Firm,vcsheet
Collaborative Fund,https://collabfund.com/,,"Food & Ag, Climate, Consumer, Health, Fintech",,,,No,https://www.vcsheet.com/fund/collaborative-fund,,VC Firm,vcsheet
Google Ventures,https://www.gv.com/,,"AI, Education, Climate, Cybersecurity, Future of Work, Health",,,"USA, Israel, Europe",No,https://www.vcsheet.com/fund/google-org,,VC Firm,vcsheet
Caffeinated,http://caffeinatedcapital.com/,"Pre-Seed, Seed, Series A, Series B+","Enterprise, SaaS, Defense, Deeptech / Hardware, AI, Health","$3M - $5M (Seed), $10M - $25M (Series A), $50M (Series B+)","San Francisco, California",USA,Yes,https://www.vcsheet.com/fund/caffeinated-capital,"Starcloud, Loft, smash.gg, SentiLink, AgentSync",VC Firm,vcsheet
Philip Chopin,,"Series B, Series A","Advertising, Health Care, Emerging Technology",,United Kingdom England London,,,https://investorhunt.co/investors/philip-chopin,"Wandelbots, Siemplify, Workable, Payoneer, Simplee","Venture Capital, Private Equity Firm, Investor",investorhunt
Rob Taylor,,"Early Stage Venture, Series A","Advertising, Health Care, Hospitals",,United States Texas Austin,,,https://investorhunt.co/investors/rob-taylor,"dataworld, ROIKOI, Notion, Drync, Cratejoy","Venture Capital, Private Equity Firm, Micro VC, Investor",investorhunt
Benoist Grossmann,,Seed,"Health Care, Talent Management, Wearables",,France Île-de-France Paris,,,https://investorhunt.co/investors/benoist-grossmann,"Stockly, Botify, Dailymotion, Jabmo, Viadeo","Venture Capital, Private Equity Firm, Fund Of Funds",investorhunt
Sateesh Andra,,Early Stage Venture,"Health Care, Talent Management, Digital Therapeutics",,United States California Cupertino,,,https://investorhunt.co/investors/sateesh-andra,"alphaics Corporation, Darwinbox, Zluri, Cell Propulsion, Myelin Foundry","Venture Capital, Private Equity Firm, Micro VC",investorhunt
Steve Gillan,,"Series B, Early Stage Venture, Series A","Advertising, Health Care, Data Integration",,United States California San Francisco,,,https://investorhunt.co/investors/steve-gillan,"EarnUp, FundGuard, theator, Joshu, Segmed","Venture Capital, Private Equity Firm",investorhunt
Tohru Akaura,,"Pre-Seed, Early Stage Venture, Series A","Health Care, South East Asia-based Startups, Telecommunications",,Japan Tokyo Tokyo,,,https://investorhunt.co/investors/tohru-akaura,"Catallaxy, TERASS, AGRIST, CloudNatix, Parame","Venture Capital, Private Equity Firm",investorhunt
Thomas Hawes,,Series B,"Health Care, Wearables, Genetics",,United States Texas Austin,,,https://investorhunt.co/investors/thomas-c-hawes-md-mba,"Full Harvest, Nuritas, Picwell, Lumiata, Culture Biosciences","Venture Capital, Accelerator, Private Equity Firm, Investor",investorhunt
Thilo Semmelbauer,,Series B,"Advertising, Health Care, Data Integration",,United States New York New York City,,,https://investorhunt.co/investors/thilo-semmelbauer,"Divvy, CRED, Calm, theator, SetSail","Venture Capital, Private Equity Firm, Investor",investorhunt
Scotland Stevens,,"Seed, Series A","Health Care, Research and Development, Drug Discovery",,United States New York New York City,,,https://investorhunt.co/investors/scotland-stevens,"Verona Pharma, GrayBug, Scribe Therapeutics, Chemomab, CoreMap","Venture Capital, Private Equity Firm, Investor",investorhunt
Dror Nahumi,,"Series B, Early Stage Venture","Advertising, Health Care, Talent Management",,United States California Half Moon Bay,,,https://investorhunt.co/investors/dror-nahumi,"Fireglass, SundaySky, CyberX, ScaleIO, SolarEdge","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor",investorhunt
Nancy Lee,,Early Stage Venture,"Health Care, Talent Management, Wearables",,United States California San Francisco,,,https://investorhunt.co/investors/nancy-lee,"HOVER, RunSafe Security, Aerospike, Ascent, Aurora Insight","Venture Capital, Private Equity Firm",investorhunt
Arif Janmohamed,,"Seed, Series B","Health Care, E-commerce, Customer Service",,United States California San Francisco,,,https://investorhunt.co/investors/arif-janmohamed,"TripActions, EdgeSpring, Xembly, Redpanda Data, Vectorized","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Micro VC, Investment Partner, Investor",investorhunt
Promod Haque,,"Series B, Early Stage Venture","Health Care, Online Education, Enterprise Software",,United States California Menlo Park,,,https://investorhunt.co/investors/promod-haque,"Yatra, CognitiveScale, NetObjects, NTT Global Networks, Appnomic","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investor",investorhunt
Brian Dixon,,"Seed, Pre-Seed","Health Care, Payments, Databases",,United States California Oakland,,,https://investorhunt.co/investors/brian-dixon,"Ethic, SchoolMint, BioRelix, TomoCredit","Venture Capital, Private Equity Firm, Finance Operator, Investor",investorhunt
Douglas Roth,,"Seed, Early Stage Venture, Series A","Health Care, Talent Management, Research and Development",,United States Connecticut Hartford,,,https://investorhunt.co/investors/douglas-roth,"LiveClips, NorthPage, eBrevia, Umbie Health, Logicbroker","Venture Capital, Government Office, Private Equity Firm, Investor",investorhunt
Gautam Ahuja,,"Early Stage Venture, Series A","Health Care, Brand Development, High-growth Startups",,United States New York New York City,,,https://investorhunt.co/investors/gautam-ahuja,"The Game Agency, Cleancult, Credit Suisse","Venture Capital, Private Equity Firm",investorhunt
Niki Pezeshki,,"Early Stage Venture, Series A","Health Care, Talent Management, Consumer Research",,United States California Manhattan Beach,,,https://investorhunt.co/investors/niki-pezeshki,"KUDO, Farmwise, Modus, Proton.ai, MadKudu","Venture Capital, Founder, Private Equity Firm, Finance Operator, Investor",investorhunt
Loretta McCarthy,,"Seed, Crowdfunding, Pre-Seed, Early Stage Venture","Health Care, Email, E-commerce",,United States New York New York City,,,https://investorhunt.co/investors/loretta-mccarthy,"Rapt Media, RenovoRx, Lark, CourseHorse, BentoBox","Venture Capital, Entrepreneurship Program, Corporate Venture Capital, Angel Group, Private Equity Firm, CEO, Investor",investorhunt
Sean cantwell,,Series B,"Advertising, Health Care, Telecommunications",,United States Massachusetts Boston,,,https://investorhunt.co/investors/sean-cantwell,"Assent Compliance, Ping Identity, Xoom, TraceLink, mindSHIFT Technologies","Venture Capital, Private Equity Firm, Investor",investorhunt
Vasu Kulkarni,,"Seed, Pre-Seed, Early Stage Venture","Health Care, Wearables, E-commerce",,United States New York New York City,,,https://investorhunt.co/investors/vasu-kulkarni,"Dirty Lemon, Krossover, Genius","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Finance Operator, Micro VC, Investor",investorhunt
Paul Goodrich,,Seed,"Advertising, Health Care, Genetics",,United States Washington Mercer Island,,,https://investorhunt.co/investors/paul-goodrich,"Bag Borrow or Steal, Classmatescom, Local Marketers, Redfin, Sharebuilder","Venture Capital, Investor",investorhunt
Neeraj Agrawal,,"Seed, Series B, Early Stage Venture, Series A","Advertising, Health Care, Talent Management",,United States Massachusetts Boston,,,https://investorhunt.co/investors/neeraj-agrawal,"Datanyze, Shortcut, OpsGenie, Univest, Coefficient","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor",investorhunt
Richard Brick,,Early Stage Venture,"Advertising, Health Care, Emerging Technology",,United Kingdom England London,,,https://investorhunt.co/investors/richard-brick,"maude, Huboo, Zwift, Soulfresh, FunnelAI","Venture Capital, Private Equity Firm, Investment Partner",investorhunt
Denise Ferre,,"Early Stage Venture, Series A","Advertising, Health Care, Autonomous Vehicles",,United States California Sacramento,,,https://investorhunt.co/investors/denise-ferre,"Trufan, ARIZ Precision Medicine, Sibros, Aumni, Ryff","Venture Capital, Private Equity Firm",investorhunt
Talia Goldberg,,"Series B, Early Stage Venture, Series A, Late Stage Venture","Health Care, Emerging Technology, High-growth Startups",,United States California San Francisco,,,https://investorhunt.co/investors/talia-goldberg,"Carefull, Streamloots, DocsApp, Courier, Undock","Venture Capital, Corporate Venture Capital, Private Equity Firm, Finance Operator, Venture Debt, Investor",investorhunt
Krishnan Neelakantan,,"Crowdfunding, Early Stage Venture","Health Care, Telecommunications, Hospitals",,India Maharashtra Mumbai,,,https://investorhunt.co/investors/krishnan-neelakantan,"Rupifi, Captain Fresh, CropIn, BigHaat, Vegrow","Venture Capital, Private Equity Firm, Micro VC, Investment Partner",investorhunt
Dixon Cm,,"Seed, Series B, Series A","Advertising, Health Care, Data Integration",,India Karnataka Bengaluru,,,https://investorhunt.co/investors/dixon-cm,"byUs, BlueCart, SigFig, Brickfish","Venture Capital, Advisor, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor",investorhunt
Andy Weissman,,"Early Stage Venture, Series A","Health Care, E-commerce, Online Education",,United States New York New York City,,,https://investorhunt.co/investors/andy-weissman,"Heart to Heart, Beauty By Design, Abridge, Embedly, Funding Circle","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor",investorhunt
Roland Anderson,,"Series B, Early Stage Venture, Series A","Advertising, Health Care, Talent Management",,United States Massachusetts Boston,,,https://investorhunt.co/investors/roland-anderson,"Signiant, RetailNext, MadCap Software, Inc., StoneEagle, Workwell Technologies","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner",investorhunt
John Lilly,,"Series B, Early Stage Venture, Series A","Health Care, Talent Management, E-commerce",,United States California San Francisco,,,https://investorhunt.co/investors/john-lilly,"Census, Descript, CoScreen, Iron Fish, HUBUC","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor",investorhunt
Wesley Friedman,,Series B,"Health Care, Computer Vision, Women Founded",,United States California Los Angeles,,,https://investorhunt.co/investors/wesley-friedman,"MakeSpace, Eight Sleep, Millions, IdeaFlow, Premise Data","Venture Capital, Private Equity Firm, Finance Operator, Investor",investorhunt
Pat Matthews,,"Seed, Pre-Seed","Health Care, Advocacy, Wellness",,United States Texas San Antonio,,,https://investorhunt.co/investors/pat-matthews,"Emergent One, Testlio, Promoter.io, Keen, EasyExpunctions","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Micro VC, Investment Partner, Investor",investorhunt
John Frankel,,"Seed, Series B, Early Stage Venture","Health Care, Talent Management, High-growth Startups",,United States New York New York City,,,https://investorhunt.co/investors/john-frankel,"Top Flight Technologies, Hashable, ClearPath Immigration, 500px, Phone.com","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor",investorhunt
Blair Garrou,,Seed,"Health Care, Research and Development, Events Services",,United States Texas Houston,,,https://investorhunt.co/investors/blair-garrou,"Molecule, Graphicly, GameSalad, Alert Logic, Vistar Media","Venture Capital, Private Equity Firm, Angel/Individual, Investor",investorhunt
Shiv Chaudhary,,Early Stage Venture,"Advertising, Health Care, Talent Management",,India Maharashtra Mumbai,,,https://investorhunt.co/investors/shiv-chaudhary,Edelweiss Financial Services,"Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner",investorhunt
Pietro Bezza,,"Seed, Early Stage Venture","Advertising, Health Care, Genetics",,United Kingdom England London,,,https://investorhunt.co/investors/pietro-bezza,"Typeform, Stepsize, TrueLayer, Citymapper, The Family","Venture Capital, Founder, Private Equity Firm, Micro VC, Investor",investorhunt
Tony Florence,,"Series B, Series A","Advertising, Health Care, Emerging Technology",,United States New York New York City,,,https://investorhunt.co/investors/tony-florence,"Jet, EVERFI, Swirlds, Casper, Moda Operandi","Venture Capital, Private Equity Firm, Angel/Individual, Investor",investorhunt
Jesse Beyroutey,,Early Stage Venture,"Advertising, Health Care, High-growth Startups",,United States New York New York City,,,https://investorhunt.co/investors/jesse-beyroutey,"Canvas Medical, Companion, Secure, Headway, KYKLO","Venture Capital, Private Equity Firm, Micro VC",investorhunt
Rami Branitzky,,"Series B, Early Stage Venture, Late Stage Venture","Health Care, Talent Management, Network Infrastructure",,United States California San Francisco,,,https://investorhunt.co/investors/rami-branitzky,"Tonal, Churchill Club, SAP, TopTier Software","Venture Capital, Entrepreneurship Program, Corporate Venture Capital, Private Equity Firm, Fund Of Funds, Investor",investorhunt
Gary Swart,,"Seed, Pre-Seed, Early Stage Venture","Creative Venture, Patient Care, Health Care",,United States California Atherton,,,https://investorhunt.co/investors/gary-swart,"Stensul, Envoy, Preply, Cobalt, CliQr Technologies","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor",investorhunt
Luis Trevino,,Seed,"Advertising, Health Care, Data Integration",,United States New York New York City,,,https://investorhunt.co/investors/luis-f-trevino,"Arthena, Spire Global, Carrot, Black House, Kiwii Capital","Venture Capital, Advisor, Family Investment Office, Private Equity Firm, Investor",investorhunt
Scott Brady,,"Seed, Early Stage Venture, Series A","Health Care, Emerging Technology, Research and Development",,United States California San Francisco,,,https://investorhunt.co/investors/scott-brady,"Lever, Opendoor, attune, HoneyBook, Kinnek","Venture Capital, Private Equity Firm, Finance Operator, Micro VC, Investor",investorhunt
Mark Poag,,"Seed, Pre-Seed","Health Care, Research and Development, Wellness",,United States Texas Houston,,,https://investorhunt.co/investors/mark-poag,"Overtime, SmartAsset, Optimal Dynamics, RocketVisor, Quantum Circuits","Venture Capital, Private Equity Firm, Angel/Individual, Investor",investorhunt
Alexis Ohanian,,"Seed, Pre-Seed, Early Stage Venture, Series A","Advertising, Clean Tech, Health Care",,United States Florida Fort Lauderdale,,,https://investorhunt.co/investors/alexis-ohanian-sr,"Apportable, Kamcord, Rally, Opendoor, Rescale","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Venture Debt, Investment Partner, Investor",investorhunt
Eric Lui,,Seed,"Health Care, Talent Management, Customer Service",,United States California Santa Monica,,,https://investorhunt.co/investors/eric-lui,"Wedding Spot, Factual Inc","Venture Capital, Private Equity Firm, Angel/Individual, Micro VC, Investment Partner",investorhunt
Ethan Rigel,,Early Stage Venture,"Patient Care, Health Care, Genetics",,United States New York New York City,,,https://investorhunt.co/investors/ethan-rigel,"ACE Portal, BaseTrace, Brickell Biotech, Castle Biosciences, Conversa Health","Venture Capital, Private Equity Firm",investorhunt
Brian Long,,"Seed, Early Stage Venture","Advertising, Health Care, High-growth Startups",,United States California Palo Alto,,,https://investorhunt.co/investors/brian-long,"Thumb, Elevate, Onswipe, Buzzd, Localytics","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Investment Partner, Investor",investorhunt
Lee Junior,,Early Stage Venture,"Advertising, Creative Venture, Health Care",,Singapore Central Singapore Community Development Council Singapore,,,https://investorhunt.co/investors/lee-junior,"Advantir Innovations, Novocall, BoxGreen, salutat, Rooit","Venture Capital, Incubator, Entrepreneurship Program, Accelerator, Private Equity Firm",investorhunt
Atul Kamra,,"Seed, Early Stage Venture, Series A","Health Care, Data Integration, Payments",,United States Missouri St. Louis,,,https://investorhunt.co/investors/atul-kamra,"Assembly, FinLocker, Ensygnia, Trust Stamp, Popwallet","Venture Capital, Corporate Venture Capital, Private Equity Firm, Finance Operator, Investor",investorhunt
Yusuke Murata,,"Pre-Seed, Early Stage Venture, Series A","Health Care, South East Asia-based Startups, Telecommunications",,Japan Tokyo Tokyo,,,https://investorhunt.co/investors/yusuke-murata,"Catallaxy, TERASS, AGRIST, CloudNatix, Parame","Venture Capital, Private Equity Firm",investorhunt
David Marquardt,,Early Stage Venture,"Health Care, Cybersecurity, Sports",,United States California Menlo Park,,,https://investorhunt.co/investors/david-marquardt,"FourKites, Amount.com, Kin Insurance, Kentik, Dock Health","Venture Capital, Private Equity Firm",investorhunt
Max-Julian Kaye,,"Series B, Early Stage Venture, Series A","Advertising, Health Care, Talent Management",,United States Massachusetts Boston,,,https://investorhunt.co/investors/max-julian-kaye,"Vercore, LI-COR Environmental, LI-COR Biotechnology, VertiGIS, CAMBRIO","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner",investorhunt
Matias Thienen,,Series B,"Health Care, Wellness, HR Tech",,United States Florida Miami,,,https://investorhunt.co/investors/matias-thienen,"Turing.com, On Deck, Figma, Vise, Density","Venture Capital, Private Equity Firm, Investor",investorhunt
Morgan Flager,,"Early Stage Venture, Series A","Health Care, Outdoors, Payments",,United States Texas Austin,,,https://investorhunt.co/investors/morgan-flager,"Living Security, Rollick, Rx Redefined, Routefusion, Literati","Venture Capital, Private Equity Firm",investorhunt
Greg Beaufait,,"Seed, Pre-Seed, Early Stage Venture","Advertising, Health Care, E-commerce",,United States Illinois Chicago,,,https://investorhunt.co/investors/greg-beaufait,"Dobby, Bulu Group, Graphicly, Costello, Built In","Venture Capital, Private Equity Firm, Finance Operator, Micro VC",investorhunt
Pauliina Martikainen-Rahnu,,"Pre-Seed, Early Stage Venture, Series A","Health Care, Brand Development, Pet Care",,Finland Uusimaa Helsinki,,,https://investorhunt.co/investors/pauliina-martikainen,"Baseimmune, Enfuce, Calqulate, ultimate.ai, IQM","Venture Capital, Private Equity Firm",investorhunt
Kenneth Pentimonti,,Early Stage Venture,"Health Care, Emerging Technology, Digital Services",,United Kingdom England Greater London,,,https://investorhunt.co/investors/kenneth-pentimonti,"Decentriq, Menlo Micro, IriusRisk, GreyNoise Intelligence, RangeForce","Venture Capital, Private Equity Firm",investorhunt
Devin Quinlan,,"Seed, Early Stage Venture","Health Care, Research and Development, Regenerative Medicine",,United States Massachusetts Cambridge,,,https://investorhunt.co/investors/devin-quinlan,"23andMe, ElevateBio, TriVascular, Nevro, Syndax Pharmaceuticals","Venture Capital, Accelerator, Private Equity Firm, Investment Partner, Investor",investorhunt
